"Story","Title","Result","Date","Stability","Duration (s)"
"Booking","As a user I want to test the POST operation on authentication","SUCCESS","2023-01-16T23:20:20.090743-03:00[America/Argentina/Mendoza]","0.0","5.18"
"Booking","As a user I want to test the POST operation on bookings","SUCCESS","2023-01-16T23:20:25.279991-03:00[America/Argentina/Mendoza]","0.0","1.25"
"Booking","As a user I want to get all the bookings","SUCCESS","2023-01-16T23:20:26.538967-03:00[America/Argentina/Mendoza]","0.0","1.77"
"Booking","As a user I want to delete a booking","SUCCESS","2023-01-16T23:20:28.314421-03:00[America/Argentina/Mendoza]","0.0","1.17"
"Booking","As a user I want to get a booking by id","SUCCESS","2023-01-16T23:20:29.492314-03:00[America/Argentina/Mendoza]","0.0","6.92"
"Booking","As a user I want to test the PUT operation to edit a booking","SUCCESS","2023-01-16T23:20:36.420435-03:00[America/Argentina/Mendoza]","0.0","0.98"
